Ticker,Date,Close,RSI,MACD_diff,SMA20,CCI,ADX,Stochastic,RSI_signal,MACD_signal,BB_signal,CCI_signal,Stochastic_signal,Overall_signal
SHO,2025-10-30,54.0,67.47,0.2661,51.94,59.56,,57.65,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
SIM,2025-10-30,1.77,32.24,-0.0035,1.82,-32.74,,0.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
SKA,2025-10-30,80.0,42.05,-0.0888,80.8,-35.85,,30.43,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
SKH,2025-10-30,31.5,56.92,0.007,30.78,80.62,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
SKL,2025-10-30,1.49,36.36,-0.0067,1.53,-82.6,,16.67,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
SLV,2025-10-30,35.7,47.87,-0.1637,36.64,-76.39,,34.48,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
SNK,2025-10-30,21.4,43.48,0.0038,21.74,-40.08,,0.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Kupuj,Kupuj
SNT,2025-10-30,263.0,45.83,0.1012,257.36,78.42,,89.23,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
SNW,2025-10-30,1.5,38.64,-0.0068,1.51,-15.65,,41.18,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
SNX,2025-10-30,5.28,34.02,0.006,5.52,-31.88,,34.78,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
SON,2025-10-30,16.9,36.36,0.002,17.18,-75.12,,14.29,Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Silne Kupuj
SPH,2025-10-30,12.75,35.16,-0.2486,14.6,-170.42,,0.0,Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Silne Kupuj
SPL,2025-10-30,503.0,57.95,2.2327,493.87,73.94,,69.03,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
SPR,2025-10-30,532.0,60.42,3.0979,525.7,36.58,,56.52,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
STF,2025-10-30,8.54,58.14,-0.0082,8.56,-8.46,,68.42,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
STP,2025-10-30,261.0,35.48,-1.4645,264.85,-20.98,,38.89,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
STS,2025-10-30,0.31,68.5,0.0015,0.29,73.14,,78.33,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
STX,2025-10-30,2.88,21.67,-0.0123,2.95,-75.44,,6.67,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
SVE,2025-10-30,4.1,39.6,0.0066,4.19,-57.45,,0.0,Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Silne Kupuj
SVRS,2025-10-30,9.65,72.94,0.1302,8.2,88.34,,93.18,Silne sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
SWG,2025-10-30,28.0,50.0,-0.0517,28.02,-2.67,,100.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
TAR,2025-10-30,120.5,42.55,0.0927,122.12,-29.48,,62.5,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
TBL,2025-10-30,3.8,34.25,-0.0283,3.98,-62.66,,13.16,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
TEN,2025-10-30,90.0,35.54,-0.5343,91.78,-33.15,,24.39,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
THG,2025-10-30,6.24,38.98,-0.04,6.54,-142.41,,0.0,Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Silne Kupuj
TLX,2025-10-30,19.7,27.66,0.0001,19.98,-54.64,,22.22,Silne Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
TMR,2025-10-30,98.0,48.0,-0.4573,97.78,6.46,,84.62,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
TOA,2025-10-30,10.24,52.0,-0.0101,10.21,6.69,,89.47,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
