Ticker,Date,Close,RSI,MACD_diff,SMA20,CCI,ADX,Stochastic,RSI_signal,MACD_signal,BB_signal,CCI_signal,Stochastic_signal,Overall_signal
BOS,2025-10-30,11.84,65.22,0.0685,11.39,192.48,,100.0,Sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Silne sprzedaj
BOW,2025-10-30,5.1,39.62,-0.0131,5.2,-28.45,,61.9,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
BRS,2025-10-30,6.0,36.36,-0.0744,6.44,-93.77,,0.0,Kupuj,Sprzedaj,Kupuj,Trzymaj,Kupuj,Kupuj
BST,2025-10-30,27.8,39.13,-0.1504,28.17,-35.24,,37.5,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CAP,2025-10-30,0.42,59.06,0.0014,0.41,96.81,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
CAR,2025-10-30,551.0,48.61,1.1024,550.25,11.65,,50.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CAV,2025-10-30,14.85,64.44,0.0751,14.03,50.3,,72.41,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CBF,2025-10-30,187.2,59.17,0.0418,187.06,2.18,,56.67,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CCC,2025-10-30,152.0,46.44,0.8919,153.05,-4.29,,58.23,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CCE,2025-10-30,0.26,33.33,-0.0027,0.29,-134.15,,0.0,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
CDL,2025-10-30,9.95,43.4,-0.0157,9.93,7.32,,68.75,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CDR,2025-10-30,257.3,47.05,-0.371,260.96,-29.22,,70.25,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CEZ,2025-10-30,228.6,52.17,0.0068,226.24,68.14,,84.44,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
CFI,2025-10-30,0.16,54.0,0.0,0.17,-8.73,,50.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CIG,2025-10-30,2.89,28.26,-0.0153,3.02,-89.24,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
CLC,2025-10-30,6.52,71.11,0.0616,5.97,353.74,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
CLD,2025-10-30,58.0,68.0,1.0034,51.51,171.07,,86.21,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
CLE,2025-10-30,2.7,56.5,-0.0033,2.69,4.5,,43.24,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CLN,2025-10-30,21.6,30.91,-0.0819,22.28,-103.06,,11.11,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
CMP,2025-10-30,58.0,46.75,0.0463,57.89,4.36,,69.23,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
CMR,2025-10-30,331.0,50.0,-0.0499,330.5,36.68,,66.67,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
COG,2025-10-30,6.55,29.16,-0.0571,7.01,-76.83,,8.27,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
CPA,2025-10-30,0.6,48.31,-0.0218,0.65,-16.45,,9.09,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
CPD,2025-10-30,3.65,43.88,0.1005,3.59,6.14,,98.11,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
CPI,2025-10-30,72.0,4.55,-0.546,76.99,-165.1,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
CPL,2025-10-30,7.9,65.15,0.0327,7.23,58.46,,63.64,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CPR,2025-10-30,0.92,53.21,-0.0013,0.91,75.26,,66.67,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CPS,2025-10-30,13.19,25.17,-0.0986,14.2,-137.64,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
CRI,2025-10-30,388.0,49.44,-0.5899,384.82,11.47,,53.75,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CRIA,2025-10-30,267.0,78.04,3.1015,237.0,,,89.83,Silne sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
CRJ,2025-10-30,438.0,36.62,-1.27,444.55,-41.56,,9.38,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
CRM,2025-10-30,0.42,32.76,0.0006,0.43,-29.85,,3.85,Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Silne Kupuj
CSR,2025-10-30,3.84,41.07,-0.0002,3.88,-33.0,,29.41,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
CTS,2025-10-30,6.0,65.38,0.0222,5.75,132.42,,100.0,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
CTX,2025-10-30,48.0,79.41,0.7394,42.27,122.51,,90.0,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
CZT,2025-10-30,0.43,59.14,0.0046,0.43,12.82,,48.57,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
DAD,2025-10-30,61.4,42.22,-0.4571,62.97,-78.37,,38.89,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
DAT,2025-10-30,92.12,38.1,0.1565,95.31,-63.32,,32.84,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
DBC,2025-10-30,82.5,60.42,0.2175,81.2,86.49,,92.86,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
DBE,2025-10-30,12.2,51.52,0.056,11.84,55.88,,74.07,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
DCR,2025-10-30,69.2,33.87,-0.1917,71.13,-51.16,,22.22,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
DEK,2025-10-30,90.6,66.07,-0.1512,87.88,34.35,,81.82,Sprzedaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Silne sprzedaj
DEL,2025-10-30,6.26,34.29,-0.0089,6.4,-142.05,,0.0,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
DGA,2025-10-30,26.9,31.46,-0.5636,28.74,-49.14,,22.5,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
DGE,2025-10-30,29.6,37.5,-0.6414,30.78,-16.93,,0.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
DIA,2025-10-30,185.4,56.21,0.6401,185.61,-1.44,,47.74,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
DIG,2025-10-30,98.6,77.84,0.9799,91.9,113.69,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
DMG,2025-10-30,3.14,49.06,0.0185,3.16,-9.54,,78.57,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
DNP,2025-10-30,45.08,61.49,0.1139,44.34,49.56,,77.05,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
DOM,2025-10-30,242.0,51.0,0.061,242.15,-2.07,,41.67,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
DTR,2025-10-30,11.3,41.86,-0.0707,11.88,-87.35,,31.25,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
DVL,2025-10-30,8.17,56.77,0.015,8.15,9.31,,54.55,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
EAH,2025-10-30,36.9,34.09,-0.0013,36.74,11.27,,55.56,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
EAT,2025-10-30,15.0,42.99,-0.013,15.05,-12.39,,28.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ECB,2025-10-30,27.3,39.06,0.0061,27.47,-23.66,,48.0,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ECH,2025-10-30,5.5,44.44,-0.0071,5.55,-44.0,,25.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
EDI,2025-10-30,6.2,53.06,0.0005,6.12,42.72,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
EFK,2025-10-30,4.82,24.1,-0.0192,5.13,-178.48,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
EHG,2025-10-30,3.16,52.73,-0.0182,3.06,64.38,,70.83,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
EKP,2025-10-30,2.3,38.24,-0.0044,2.34,-96.08,,0.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
ELT,2025-10-30,50.2,42.27,-0.1262,51.18,-60.61,,20.83,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
EMC,2025-10-30,11.0,60.0,0.0266,10.9,128.21,,100.0,Trzymaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
ENA,2025-10-30,20.86,71.78,0.2654,19.03,107.23,,86.11,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
ENE,2025-10-30,18.4,48.78,0.0133,18.18,54.47,,90.91,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
ENG,2025-10-30,14.96,65.26,0.0541,14.53,96.57,,69.81,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ENI,2025-10-30,3.19,51.61,-0.0186,3.12,28.44,,75.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ENP,2025-10-30,2.96,63.64,0.0047,2.9,116.64,,100.0,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
ENT,2025-10-30,53.0,28.17,-0.5134,56.05,-163.42,,2.44,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
EQU,2025-10-30,0.95,50.75,-0.0068,0.98,-43.27,,0.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
ERB,2025-10-30,29.5,23.81,0.0605,29.87,-20.55,,0.0,Silne Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Kupuj
ERG,2025-10-30,43.0,35.71,-0.1162,44.53,-45.94,,50.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ETL,2025-10-30,29.7,40.82,-0.0148,29.64,3.02,,70.73,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
EUC,2025-10-30,1.71,39.34,0.0246,1.84,-38.9,,8.0,Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Silne Kupuj
EUR,2025-10-30,8.09,52.58,-0.005,8.12,-20.99,,46.58,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
FAB,2025-10-30,26.7,60.0,0.0897,26.25,96.23,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
FEE,2025-10-30,12.35,25.58,-0.0285,12.7,-70.36,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
FHB,2025-10-30,2.6,16.67,-0.0102,2.67,-297.69,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
FMG,2025-10-30,89.8,40.0,0.1918,91.31,-26.42,,34.48,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
FON,2025-10-30,0.28,38.78,0.0207,0.28,-2.08,,40.0,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
FRO,2025-10-30,31.5,47.83,0.1226,31.38,27.27,,66.67,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
FSG,2025-10-30,12.7,47.37,0.007,12.71,-3.26,,66.67,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
FTE,2025-10-30,26.1,45.71,0.1141,26.24,-17.4,,64.29,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
GEA,2025-10-30,3.06,26.83,-0.0295,3.2,-142.03,,9.09,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
GIF,2025-10-30,8.5,76.92,0.0682,7.75,84.16,,100.0,Silne sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
GIG,2025-10-30,2.05,39.29,-0.0107,2.12,-21.78,,46.67,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
GKI,2025-10-30,3.11,40.74,-0.0101,3.2,-73.43,,0.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
GMT,2025-10-30,5.46,27.23,-0.0724,6.26,-133.4,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
GOB,2025-10-30,21.8,37.78,-0.0335,22.83,-123.28,,0.0,Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Silne Kupuj
GOP,2025-10-30,14.96,42.53,-0.0117,14.86,20.08,,60.98,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
GPP,2025-10-30,57.2,23.08,-0.0639,59.82,-54.18,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Trzymaj,Kupuj,Kupuj
GPW,2025-10-30,60.3,76.77,0.4561,56.79,308.39,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
GRN,2025-10-30,10.75,50.0,0.0151,10.72,17.22,,83.33,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
GRX,2025-10-30,1.88,57.53,0.0114,1.85,36.34,,43.42,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
GTC,2025-10-30,3.66,17.74,-0.0219,3.91,-123.24,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
GTN,2025-10-30,0.6,84.07,0.0054,0.54,225.26,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
HDR,2025-10-30,17.55,41.75,-0.085,18.33,-131.61,,3.45,Trzymaj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
HEL,2025-10-30,28.2,52.05,0.0761,27.27,129.77,,100.0,Trzymaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
HMI,2025-10-30,25.0,9.42,-1.3831,45.36,-387.46,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
HRP,2025-10-30,5.4,25.0,-0.0025,5.77,-48.72,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Trzymaj,Kupuj,Kupuj
HRS,2025-10-30,1.47,77.89,0.0131,1.37,59.01,,82.46,Silne sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
HUG,2025-10-30,24.0,58.62,0.0113,23.34,98.88,,85.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
IBS,2025-10-30,62.8,55.29,0.101,64.39,-23.62,,29.63,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
ICE,2025-10-30,12.28,53.19,-0.0008,12.15,17.7,,58.23,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
IDM,2025-10-30,0.55,13.33,-0.0026,0.57,-71.37,,0.0,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
IFI,2025-10-30,30.4,54.84,0.0068,30.14,86.56,,86.67,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
IMC,2025-10-30,26.1,65.52,0.4693,23.86,91.09,,91.67,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
IMP,2025-10-30,1.41,41.38,-0.0081,1.45,-62.36,,0.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
IMS,2025-10-30,3.0,31.88,0.0011,3.03,-20.66,,35.48,Kupuj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
INC,2025-10-30,1.64,33.71,-0.0042,1.7,-57.79,,41.86,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ING,2025-10-30,317.0,60.61,1.8216,309.4,88.15,,77.27,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
INK,2025-10-30,37.8,46.0,0.0031,38.08,-38.1,,11.11,Trzymaj,Kupuj,Trzymaj,Trzymaj,Kupuj,Kupuj
INL,2025-10-30,6.92,25.0,-0.0396,7.31,-142.14,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
INP,2025-10-30,8.3,55.0,-0.0156,8.13,97.7,,100.0,Trzymaj,Sprzedaj,Sprzedaj,Trzymaj,Sprzedaj,Silne sprzedaj
IPE,2025-10-30,3.11,48.48,-0.0089,3.15,-19.67,,0.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
IPO,2025-10-30,0.54,49.23,-0.0012,0.54,17.74,,76.47,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
ITB,2025-10-30,2.14,57.89,-0.0118,2.22,-119.21,,0.0,Trzymaj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
IZB,2025-10-30,27.0,48.94,0.1991,26.38,58.17,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
IZO,2025-10-30,3.77,25.81,-0.0109,3.82,-20.61,,14.81,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
IZS,2025-10-30,3.48,53.17,-0.0134,3.44,15.31,,80.0,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
JRH,2025-10-30,6.92,34.21,-0.1468,7.67,-59.51,,0.0,Kupuj,Sprzedaj,Kupuj,Trzymaj,Kupuj,Kupuj
JSW,2025-10-30,25.78,44.65,-0.0304,25.29,29.39,,58.09,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
JWW,2025-10-30,3.21,70.15,0.0199,3.07,103.1,,100.0,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
KCH,2025-10-30,0.77,60.47,0.0052,0.73,122.46,,100.0,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
KCI,2025-10-30,0.97,66.67,0.0,0.96,57.0,,92.86,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
KER,2025-10-30,19.1,53.26,0.0204,18.97,55.0,,88.46,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
KGH,2025-10-30,194.0,55.16,-1.1231,187.88,21.33,,72.65,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
KGL,2025-10-30,10.8,16.0,-0.1547,12.18,-126.07,,5.56,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
KGN,2025-10-30,63.7,82.42,0.3552,59.68,205.74,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
KMP,2025-10-30,23.8,55.56,0.0558,23.58,23.19,,40.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
KOM,2025-10-30,5.88,30.3,-0.0894,6.3,-44.98,,0.0,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Kupuj
KPD,2025-10-30,27.2,41.94,0.0074,27.74,-35.77,,30.77,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
KPL,2025-10-30,17.5,43.14,0.0607,17.38,20.19,,95.24,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
KRI,2025-10-30,17.35,44.68,0.019,17.48,-28.93,,64.29,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
KRK,2025-10-30,878.0,57.85,2.8992,863.9,24.16,,69.44,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
KRU,2025-10-30,478.3,72.75,2.9458,452.6,117.56,,100.0,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
KSG,2025-10-30,3.64,41.67,-0.0081,3.69,-97.39,,15.38,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
KTY,2025-10-30,945.5,73.78,3.1993,918.42,95.86,,97.37,Silne sprzedaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
KVT,2025-10-30,10.3,68.75,0.0175,10.12,65.35,,71.43,Sprzedaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
LAB,2025-10-30,15.1,41.67,-0.0109,15.14,-23.26,,33.33,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
LBT,2025-10-30,1.45,42.86,-0.0048,1.5,-124.94,,0.0,Trzymaj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
LBW,2025-10-30,9.9,16.8,-0.1601,10.73,-86.77,,5.41,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
LEN,2025-10-30,2.8,42.42,-0.0007,2.81,-17.17,,41.67,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
LES,2025-10-30,0.24,52.0,0.0,0.24,69.57,,60.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
LKD,2025-10-30,22.3,21.74,-0.3039,23.7,-62.55,,6.06,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
LPP,2025-10-30,18100.0,64.51,125.1117,17263.32,140.47,,100.0,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
LRQ,2025-10-30,2.22,45.9,-0.0217,2.26,-28.64,,31.25,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
LSI,2025-10-30,28.0,60.87,0.0728,27.34,146.67,,100.0,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
LTX,2025-10-30,7.48,49.23,0.0004,7.51,-16.56,,47.62,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
LWB,2025-10-30,21.3,23.44,-0.0061,21.74,-36.84,,8.33,Silne Kupuj,Sprzedaj,Trzymaj,Trzymaj,Kupuj,Sprzedaj
MAB,2025-10-30,8.3,33.73,0.0026,8.52,-82.35,,0.0,Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Silne Kupuj
MAK,2025-10-30,23.6,62.71,0.0311,22.49,141.39,,100.0,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
MAN,2025-10-30,0.62,40.67,-0.0058,0.67,-130.41,,0.0,Trzymaj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
MBK,2025-10-30,1017.5,68.32,9.5391,955.88,116.06,,79.07,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Trzymaj,Sprzedaj
MBR,2025-10-30,292.0,37.14,-0.1869,291.85,1.84,,33.33,Kupuj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
MBW,2025-10-30,12.0,35.29,0.028,12.32,-35.68,,0.0,Kupuj,Kupuj,Trzymaj,Trzymaj,Kupuj,Silne Kupuj
MCI,2025-10-30,29.9,60.0,0.0112,29.64,43.62,,71.43,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
MCR,2025-10-30,24.3,40.48,-0.1247,24.93,-113.74,,38.1,Trzymaj,Sprzedaj,Trzymaj,Kupuj,Trzymaj,Sprzedaj
MDG,2025-10-30,33.35,42.58,-0.0681,34.94,-42.68,,22.92,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
MDI,2025-10-30,0.88,45.5,0.0116,0.81,56.09,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
MEG,2025-10-30,5.0,40.23,-0.1234,5.9,-111.06,,4.76,Trzymaj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
MEX,2025-10-30,3.4,39.64,-0.0164,3.51,-110.24,,8.0,Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
MFO,2025-10-30,38.0,52.5,-0.0038,37.62,16.27,,67.86,Trzymaj,Sprzedaj,Trzymaj,Trzymaj,Trzymaj,Sprzedaj
MGT,2025-10-30,51.8,26.15,-0.3546,55.91,-115.32,,6.98,Silne Kupuj,Sprzedaj,Trzymaj,Kupuj,Kupuj,Kupuj
MIL,2025-10-30,15.74,56.04,0.0975,15.19,101.5,,66.87,Trzymaj,Kupuj,Trzymaj,Sprzedaj,Trzymaj,Sprzedaj
MIR,2025-10-30,0.78,40.74,0.0002,0.79,-64.9,,0.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Kupuj,Kupuj
MLG,2025-10-30,81.0,81.97,0.5773,76.55,115.84,,100.0,Silne sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
MLK,2025-10-30,1.86,54.37,0.0036,1.86,0.41,,45.95,Trzymaj,Kupuj,Trzymaj,Trzymaj,Trzymaj,Kupuj
MLS,2025-10-30,16.16,68.39,0.1515,15.19,119.0,,92.68,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
MNC,2025-10-30,33.7,66.67,0.0871,32.73,120.03,,91.3,Sprzedaj,Kupuj,Trzymaj,Sprzedaj,Sprzedaj,Sprzedaj
MOC,2025-10-30,6.71,15.15,-0.0796,7.51,-261.62,,0.0,Silne Kupuj,Sprzedaj,Kupuj,Kupuj,Kupuj,Kupuj
MOJ,2025-10-30,1.44,53.33,0.0025,1.42,75.14,,100.0,Trzymaj,Kupuj,Trzymaj,Trzymaj,Sprzedaj,Sprzedaj
MOL,2025-10-30,32.52,72.31,0.3303,30.48,262.87,,93.38,Silne sprzedaj,Kupuj,Sprzedaj,Sprzedaj,Sprzedaj,Sprzedaj
