Nazwa,Ticker,Kwartał [-],Data publikacji,Kurs [zł],Liczba akcji [-],Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Zysk operacyjny (EBIT) [tys. zł],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Nazwa+ticker
DELKO,DEL,2009/Q3,2009-11-16,3.09,8960000,116904.0,2475.0,3325.0,2.4,,0.62,,46.42,,2.05,,25.87,5.3,1.33,DELKO (DEL)
DELKO,DEL,2009/Q4,2010-02-26,3.44,11960000,110646.0,2171.0,2686.0,3.04,1.56,0.52,9.18,36.21,0.13,2.83,1.67,16.95,6.72,1.42,DELKO (DEL)
DELKO,DEL,2010/Q1,2010-05-17,4.0,11960000,122877.0,1861.0,2526.0,3.17,2.19,0.55,12.55,37.98,0.18,2.99,2.32,17.43,6.29,1.46,DELKO (DEL)
DELKO,DEL,2010/Q2,2010-08-31,4.2,11960000,128467.0,1007.0,1615.0,3.25,2.19,0.54,13.28,40.04,0.18,2.94,2.42,16.49,5.36,1.34,DELKO (DEL)
DELKO,DEL,2010/Q3,2010-11-15,4.17,11960000,137363.0,2266.0,3017.0,3.4,2.1,0.52,13.7,41.75,0.17,2.78,2.57,15.32,5.09,1.25,DELKO (DEL)
DELKO,DEL,2010/Q4,2011-03-01,3.12,11960000,111994.0,660.0,1701.0,3.44,1.91,0.4,16.58,41.86,0.16,2.27,2.89,11.53,4.07,0.95,DELKO (DEL)
DELKO,DEL,2011/Q1,2011-05-16,2.83,11960000,145604.0,1518.0,2583.0,3.54,1.43,0.36,13.84,43.76,0.12,1.55,3.26,10.31,2.66,0.83,DELKO (DEL)
DELKO,DEL,2011/Q2,2011-08-31,1.45,11960000,143885.0,1168.0,2016.0,3.55,0.97,0.37,9.38,45.05,0.08,1.47,2.34,10.34,2.75,0.82,DELKO (DEL)
DELKO,DEL,2011/Q3,2011-11-09,1.62,11960000,151223.0,653.0,1520.0,3.58,0.7,0.24,10.55,46.21,0.05,1.47,1.7,6.59,1.66,0.51,DELKO (DEL)
DELKO,DEL,2011/Q4,2012-02-28,1.69,11960000,127677.0,-2134.0,-2240.0,3.3,0.58,0.05,38.17,47.52,0.04,0.89,2.14,1.51,0.41,0.1,DELKO (DEL)
DELKO,DEL,2012/Q1,2012-05-15,,11960000,143540.0,-1999.0,-925.0,3.07,0.7,-0.23,,47.35,0.05,0.61,3.5,-7.41,-1.63,-0.48,DELKO (DEL)
DELKO,DEL,2012/Q2,2012-08-31,0.63,11960000,130885.0,-2967.0,-2184.0,2.73,0.46,-0.56,,46.26,0.03,0.25,5.0,-20.36,-4.13,-1.2,DELKO (DEL)
DELKO,DEL,2012/Q3,2012-11-14,0.63,11960000,138427.0,-1542.0,-538.0,2.63,0.44,-0.73,,45.19,0.03,0.22,5.32,-27.74,-5.42,-1.61,DELKO (DEL)
DELKO,DEL,2012/Q4,2013-02-28,1.09,11960000,116006.0,816.0,249.0,2.73,0.39,-0.51,,44.22,0.02,0.35,3.08,-18.82,-4.87,-1.16,DELKO (DEL)
DELKO,DEL,2013/Q1,2013-05-15,1.31,11960000,135424.0,1117.0,2136.0,2.81,0.73,-0.26,,43.54,0.05,0.41,4.96,-9.31,-2.11,-0.6,DELKO (DEL)
DELKO,DEL,2013/Q2,2013-08-29,1.74,11960000,134880.0,2093.0,3096.0,2.97,0.71,0.15,13.85,43.87,0.05,0.55,3.84,5.15,1.17,0.35,DELKO (DEL)
DELKO,DEL,2013/Q3,2013-11-14,2.41,11960000,135508.0,1859.0,2956.0,3.11,0.98,0.44,6.98,43.63,0.07,0.78,3.9,14.04,3.47,1.0,DELKO (DEL)
DELKO,DEL,2013/Q4,2014-02-28,2.62,11960000,115427.0,1003.0,1976.0,3.07,1.16,0.45,7.88,43.58,0.08,0.96,3.7,14.7,4.47,1.04,DELKO (DEL)
DELKO,DEL,2014/Q1,2014-05-15,2.15,11960000,124242.0,1588.0,2520.0,3.2,1.25,0.5,7.98,42.65,0.09,1.1,3.63,15.66,4.25,1.17,DELKO (DEL)
DELKO,DEL,2014/Q2,2014-08-29,1.97,11960000,124929.0,1802.0,2791.0,3.33,0.89,0.47,6.24,41.81,0.07,1.22,2.43,14.23,4.22,1.13,DELKO (DEL)
DELKO,DEL,2014/Q3,2014-11-14,1.74,11960000,128648.0,2255.0,3167.0,3.5,0.75,0.5,5.23,41.24,0.06,1.46,1.8,14.41,4.57,1.22,DELKO (DEL)
DELKO,DEL,2014/Q4,2015-02-25,1.67,11960000,108311.0,1352.0,2063.0,3.61,0.69,0.54,4.61,40.65,0.06,1.64,1.51,14.89,6.02,1.32,DELKO (DEL)
DELKO,DEL,2015/Q1,2015-05-15,2.28,11960000,125533.0,2440.0,3448.0,3.8,0.83,0.6,5.19,40.75,0.08,1.81,1.74,15.89,5.62,1.48,DELKO (DEL)
DELKO,DEL,2015/Q2,2015-08-28,2.64,11960000,119877.0,2011.0,2765.0,3.84,1.05,0.63,6.38,40.33,0.1,1.87,2.17,16.52,5.98,1.57,DELKO (DEL)
DELKO,DEL,2015/Q3,2015-11-13,2.98,11960000,127827.0,2458.0,3321.0,4.03,1.02,0.66,6.24,40.26,0.1,1.98,2.08,16.36,5.91,1.64,DELKO (DEL)
DELKO,DEL,2015/Q4,2016-02-29,2.53,11960000,121769.0,1379.0,1952.0,4.16,1.07,0.69,6.45,41.39,0.11,-0.26,,16.64,5.27,1.67,DELKO (DEL)
DELKO,DEL,2016/Q1,2016-05-13,3.12,11960000,139728.0,3259.0,4391.0,4.43,1.11,0.77,6.36,42.58,0.12,-0.1,,17.4,5.24,1.81,DELKO (DEL)
DELKO,DEL,2016/Q2,2016-08-31,2.9,11960000,140404.0,2637.0,3722.0,4.5,1.11,0.83,6.04,44.29,0.11,-0.03,,18.36,5.45,1.87,DELKO (DEL)
DELKO,DEL,2016/Q3,2016-11-14,3.27,11960000,147598.0,3602.0,4773.0,4.81,1.0,0.94,5.12,45.94,0.1,0.27,18.08,19.52,6.11,2.04,DELKO (DEL)
DELKO,DEL,2016/Q4,2017-04-28,3.46,11960000,123488.0,638.0,1569.0,4.86,1.2,0.85,6.89,46.09,0.13,0.38,15.18,17.43,5.92,1.84,DELKO (DEL)
DELKO,DEL,2017/Q1,2017-05-26,3.47,11960000,155088.0,4595.0,5789.0,5.24,1.09,0.96,5.98,47.37,0.12,-0.07,,18.28,5.71,2.02,DELKO (DEL)
DELKO,DEL,2017/Q2,2017-09-22,3.54,11960000,162130.0,3130.0,4742.0,5.31,0.91,1.0,4.85,49.19,0.1,0.02,225.59,18.83,5.93,2.03,DELKO (DEL)
DELKO,DEL,2017/Q3,2017-11-24,3.74,11960000,164586.0,4257.0,5881.0,5.67,0.96,1.05,5.14,50.61,0.11,0.41,13.15,18.59,6.16,2.08,DELKO (DEL)
DELKO,DEL,2017/Q4,2018-04-26,3.27,11960000,148390.0,347.0,987.0,5.7,0.89,1.03,4.95,52.69,0.1,0.43,11.77,18.08,6.62,1.96,DELKO (DEL)
DELKO,DEL,2018/Q1,2018-05-25,2.71,11960000,158672.0,3069.0,4409.0,5.96,0.81,0.9,5.31,52.99,0.09,0.66,7.23,15.16,5.3,1.7,DELKO (DEL)
DELKO,DEL,2018/Q2,2018-09-28,2.96,11960000,163195.0,3803.0,5250.0,6.07,0.67,0.96,4.25,53.08,0.08,0.76,5.39,15.79,5.56,1.81,DELKO (DEL)
DELKO,DEL,2018/Q3,2018-11-28,3.22,11960000,161263.0,3972.0,5125.0,6.41,0.66,0.94,4.49,52.8,0.08,1.11,3.79,14.6,5.43,1.77,DELKO (DEL)
DELKO,DEL,2018/Q4,2019-04-24,2.68,11960000,150258.0,2692.0,3942.0,6.63,0.54,1.13,3.14,52.96,0.07,1.35,2.62,17.06,7.32,2.14,DELKO (DEL)
DELKO,DEL,2019/Q1,2019-05-21,2.79,11960000,162823.0,2715.0,4104.0,6.79,0.55,1.1,3.4,53.31,0.07,0.74,5.09,16.21,5.85,2.07,DELKO (DEL)
DELKO,DEL,2019/Q2,2019-09-26,3.24,11960000,202355.0,4426.0,6233.0,6.98,0.59,1.15,3.55,56.58,0.07,-1.28,,16.53,5.3,2.04,DELKO (DEL)
DELKO,DEL,2019/Q3,2019-11-21,3.85,11960000,200916.0,4539.0,6458.0,7.36,0.59,1.2,3.62,59.9,0.07,-0.86,,16.31,5.74,2.0,DELKO (DEL)
DELKO,DEL,2019/Q4,2020-05-13,4.48,11960000,185196.0,1658.0,2672.0,7.58,0.74,1.12,5.02,62.82,0.09,-0.83,,14.72,5.82,1.78,DELKO (DEL)
DELKO,DEL,2020/Q1,2020-06-04,6.3,11960000,215167.0,6481.0,8331.0,8.11,0.6,1.43,3.39,67.19,0.07,-0.22,,17.63,6.55,2.13,DELKO (DEL)
DELKO,DEL,2020/Q2,2020-09-30,7.22,11960000,205395.0,3892.0,4762.0,8.21,0.96,1.39,5.7,67.45,0.12,-0.11,,16.87,6.67,2.05,DELKO (DEL)
DELKO,DEL,2020/Q3,2020-11-27,6.54,11960000,215740.0,7401.0,8856.0,8.83,1.07,1.63,5.81,68.69,0.14,-0.51,,18.4,7.27,2.37,DELKO (DEL)
DELKO,DEL,2020/Q4,2021-04-30,6.65,11960000,182031.0,1883.0,2568.0,8.92,0.89,1.64,4.8,68.42,0.12,-0.66,,18.42,8.07,2.4,DELKO (DEL)
DELKO,DEL,2021/Q1,2021-05-28,6.41,11960000,191210.0,4422.0,5244.0,9.29,0.94,1.47,5.94,66.42,0.13,-0.2,,15.84,6.69,2.22,DELKO (DEL)
DELKO,DEL,2021/Q2,2021-09-30,6.66,11960000,197598.0,6095.0,6854.0,9.47,0.88,1.66,5.01,65.77,0.13,-0.23,,17.47,7.2,2.52,DELKO (DEL)
DELKO,DEL,2021/Q3,2021-11-29,6.35,11960000,203302.0,5777.0,6556.0,9.96,0.84,1.52,5.52,64.73,0.13,0.2,42.09,15.26,6.69,2.35,DELKO (DEL)
DELKO,DEL,2021/Q4,2022-04-29,6.18,11960000,187577.0,1790.0,2185.0,10.08,0.78,1.51,5.17,65.19,0.12,-1.28,,15.0,6.47,2.32,DELKO (DEL)
DELKO,DEL,2022/Q1,2022-05-30,6.12,11960000,208613.0,6769.0,7579.0,10.65,0.73,1.71,4.56,66.65,0.12,-1.08,,16.05,6.48,2.56,DELKO (DEL)
DELKO,DEL,2022/Q2,2022-09-30,6.21,11960000,229467.0,7778.0,9435.0,10.9,0.69,1.85,4.04,69.31,0.11,-0.75,,16.97,6.92,2.67,DELKO (DEL)
DELKO,DEL,2022/Q3,2022-11-29,7.26,11960000,226894.0,7952.0,10497.0,11.56,0.64,2.03,3.64,71.28,0.1,-0.06,,17.57,7.69,2.85,DELKO (DEL)
DELKO,DEL,2022/Q4,2023-03-01,9.69,11960000,215705.0,6016.0,7311.0,12.03,0.75,2.38,3.79,73.64,0.12,0.27,34.11,19.81,9.5,3.24,DELKO (DEL)
DELKO,DEL,2023/Q1,2023-05-30,8.85,11960000,230463.0,5592.0,8084.0,12.51,0.86,2.29,4.68,75.46,0.14,0.44,24.24,18.28,8.16,3.03,DELKO (DEL)
DELKO,DEL,2023/Q2,2023-10-30,10.82,11960000,235002.0,5805.0,7575.0,12.99,0.84,2.12,5.14,75.93,0.14,0.68,15.96,16.32,7.4,2.79,DELKO (DEL)
DELKO,DEL,2024/Q4,2024-10-30,8.72,11960000,214532.0,4261.0,5907.0,13.37,0.64,1.27,6.68,73.77,0.12,0.41,20.62,9.52,4.25,1.72,DELKO (DEL)
DELKO,DEL,2025/Q1,2024-11-29,8.08,11960000,213050.0,1234.0,2869.0,13.47,0.61,0.89,9.14,72.2,0.11,0.87,9.42,6.64,3.09,1.24,DELKO (DEL)
DELKO,DEL,2025/Q2,2025-03-27,7.32,11960000,189467.0,-1526.0,-2208.0,12.49,0.72,0.46,19.44,69.97,0.13,0.01,1157.42,3.71,1.74,0.66,DELKO (DEL)
DELKO,DEL,2025/Q3,2025-05-30,6.9,11960000,187404.0,1152.0,2436.0,12.58,0.57,0.43,16.82,67.26,0.11,0.04,185.59,3.4,1.52,0.64,DELKO (DEL)
DELKO,DEL,2025/Q4,2025-10-29,6.28,11960000,192239.0,2032.0,3823.0,12.72,0.53,0.24,27.71,65.4,0.1,0.55,12.28,1.9,0.87,0.37,DELKO (DEL)
DGA,DGA,2005/Q4,2006-02-28,40.45,282500,4920.0,-5291.0,-5783.0,60.16,3.66,-13.19,,110.74,1.99,24.48,8.98,-21.92,-12.27,-11.91,DGA (DGA)
DGA,DGA,2006/Q1,2006-05-05,36.52,282500,9504.0,-408.0,-232.0,66.66,2.78,-20.07,,116.3,1.6,16.42,11.3,-30.1,-16.24,-17.25,DGA (DGA)
DGA,DGA,2006/Q2,2006-08-08,34.67,282500,9375.0,1197.0,1060.0,64.07,2.33,-16.27,,106.57,1.4,23.11,6.47,-25.4,-13.12,-15.27,DGA (DGA)
DGA,DGA,2006/Q3,2006-11-07,32.1,282500,10418.0,1301.0,1187.0,68.64,2.3,-11.6,,121.12,1.3,29.59,5.33,-16.9,-7.75,-9.58,DGA (DGA)
DGA,DGA,2006/Q4,2007-02-28,34.61,282500,10152.0,1158.0,1108.0,71.54,2.49,11.41,15.59,139.64,1.27,35.29,5.04,15.95,7.97,8.17,DGA (DGA)
DGA,DGA,2007/Q1,2007-04-25,39.09,282500,8288.0,484.0,197.0,74.39,2.56,14.61,13.04,135.34,1.41,41.28,4.61,19.63,11.33,10.79,DGA (DGA)
DGA,DGA,2007/Q2,2007-08-08,43.84,282500,9822.0,797.0,694.0,71.7,3.28,13.23,17.78,136.92,1.72,38.68,6.08,18.45,9.34,9.66,DGA (DGA)
DGA,DGA,2007/Q3,2007-11-06,34.07,282500,9729.0,1098.0,1162.0,75.45,0.78,12.55,4.68,134.48,0.44,44.42,1.32,16.64,10.4,9.33,DGA (DGA)
DGA,DGA,2007/Q4,2008-02-26,26.91,282500,13559.0,793.0,373.0,77.93,0.61,10.71,4.47,146.54,0.33,47.34,1.01,13.75,6.16,7.31,DGA (DGA)
DGA,DGA,2008/Q1,2008-05-08,15.45,1271250,8391.0,-2811.0,-2865.0,27.07,1.26,-0.24,,32.65,1.05,20.51,1.67,-0.9,-0.71,-0.75,DGA (DGA)
DGA,DGA,2008/Q2,2008-08-05,11.38,1271250,5562.0,-1725.0,-1956.0,24.06,0.54,-2.26,,29.29,0.45,17.23,0.76,-9.41,-6.58,-7.73,DGA (DGA)
DGA,DGA,2008/Q3,2008-11-06,10.55,1271250,5545.0,-54.0,-506.0,23.36,0.62,-3.21,,26.0,0.55,16.32,0.88,-13.75,-11.36,-12.35,DGA (DGA)
DGA,DGA,2008/Q4,2009-02-26,9.91,1271250,6276.0,-1317.0,-1505.0,21.87,0.63,-4.77,,20.27,0.67,14.78,0.93,-21.83,-17.25,-23.55,DGA (DGA)
DGA,DGA,2009/Q1,2009-05-12,16.33,1271250,6077.0,259.0,-28.0,21.62,0.74,-2.3,,18.45,0.87,14.74,1.09,-10.63,-8.28,-12.45,DGA (DGA)
DGA,DGA,2009/Q2,2009-08-31,20.05,1271250,9974.0,1532.0,531.0,22.76,1.01,0.32,72.5,21.92,1.05,15.59,1.48,1.4,1.05,1.45,DGA (DGA)
DGA,DGA,2009/Q3,2009-11-10,27.18,1271250,14139.0,412.0,303.0,23.11,1.59,0.76,48.53,28.69,1.28,15.88,2.32,3.28,2.22,2.64,DGA (DGA)
DGA,DGA,2009/Q4,2010-03-19,25.0,1271250,18913.0,302.0,463.0,23.46,1.44,2.16,15.63,38.63,0.87,15.9,2.12,9.21,6.0,5.59,DGA (DGA)
DGA,DGA,2010/Q1,2010-05-12,23.79,1130279,10573.0,467.0,358.0,26.89,1.23,2.66,12.43,47.42,0.7,17.45,1.9,9.91,7.35,5.62,DGA (DGA)
DGA,DGA,2010/Q2,2010-08-31,21.56,1130279,12578.0,-192.0,410.0,25.1,0.99,1.19,20.86,49.72,0.5,14.25,1.74,4.74,3.51,2.39,DGA (DGA)
DGA,DGA,2010/Q3,2010-11-09,28.93,1130279,4731.0,-739.0,-969.0,24.49,1.09,0.18,148.04,41.4,0.65,16.02,1.67,0.74,0.58,0.44,DGA (DGA)
DGA,DGA,2010/Q4,2011-03-21,22.11,1130279,7723.0,-3243.0,-3494.0,21.65,1.43,-3.06,,31.5,0.98,12.83,2.41,-14.12,-10.55,-9.71,DGA (DGA)
DGA,DGA,2011/Q1,2011-05-11,18.71,1130279,6273.0,64.0,-24.0,21.78,1.24,-3.45,,27.7,0.97,14.24,1.89,-15.83,-11.55,-12.45,DGA (DGA)
DGA,DGA,2011/Q2,2011-08-31,13.32,1130279,6565.0,1031.0,-308.0,22.63,0.85,-2.42,,22.38,0.86,14.48,1.33,-10.71,-7.67,-10.83,DGA (DGA)
DGA,DGA,2011/Q3,2011-11-09,12.45,1130279,6663.0,-785.0,-246.0,21.91,0.69,-2.52,,24.09,0.63,14.25,1.06,-11.49,-8.23,-10.45,DGA (DGA)
DGA,DGA,2011/Q4,2012-03-20,12.7,1130279,6805.0,1358.0,380.0,23.15,0.61,1.48,9.6,23.27,0.61,16.16,0.88,6.37,4.53,6.34,DGA (DGA)
DGA,DGA,2012/Q1,2012-05-14,11.21,1130279,4978.0,-1171.0,-248.0,22.06,0.73,0.34,47.95,22.13,0.73,15.39,1.05,1.52,1.08,1.52,DGA (DGA)
DGA,DGA,2012/Q2,2012-08-31,9.79,1130279,5310.0,-226.0,-289.0,21.87,0.64,-0.78,,21.02,0.67,14.55,0.97,-3.57,-2.59,-3.72,DGA (DGA)
DGA,DGA,2012/Q3,2012-11-13,9.29,1130279,4583.0,-1094.0,-392.0,20.95,0.58,-0.99,,19.18,0.64,14.63,0.84,-4.73,-3.37,-5.17,DGA (DGA)
DGA,DGA,2012/Q4,2013-03-21,8.55,1130279,5341.0,-168.0,-1014.0,20.77,0.52,-2.3,,17.88,0.61,14.88,0.73,-11.07,-7.9,-12.86,DGA (DGA)
DGA,DGA,2013/Q1,2013-05-14,7.12,1130279,3975.0,-539.0,-89.0,20.27,0.54,-1.71,,16.99,0.65,14.69,0.75,-8.45,-6.27,-10.08,DGA (DGA)
DGA,DGA,2013/Q2,2013-08-29,8.24,1130279,3792.0,2620.0,1055.0,22.55,0.44,0.82,12.06,15.65,0.63,17.54,0.57,3.65,2.63,5.26,DGA (DGA)
DGA,DGA,2013/Q3,2013-11-14,6.07,1130279,2406.0,-5449.0,-606.0,17.73,0.46,-3.07,,13.73,0.59,13.55,0.6,-17.33,-11.22,-22.39,DGA (DGA)
DGA,DGA,2013/Q4,2014-03-21,5.33,1130279,3922.0,-1334.0,-591.0,16.56,0.44,-4.11,,12.47,0.58,12.08,0.6,-24.79,-16.57,-32.93,DGA (DGA)
DGA,DGA,2014/Q1,2014-05-15,5.58,1130279,2916.0,1913.0,-462.0,18.26,0.39,-1.97,,11.53,0.62,12.97,0.56,-10.8,-6.9,-17.1,DGA (DGA)
DGA,DGA,2014/Q2,2014-08-29,,1130279,2578.0,-2474.0,14.0,15.89,0.44,-6.5,,10.46,0.67,10.88,0.65,-40.9,-28.32,-62.14,DGA (DGA)
DGA,DGA,2014/Q3,2014-11-14,4.69,1130279,1939.0,-1535.0,-518.0,14.47,0.44,-3.05,,10.05,0.63,9.86,0.64,-21.06,-14.94,-30.34,DGA (DGA)
DGA,DGA,2014/Q4,2015-03-20,4.34,1130279,2595.0,-1386.0,-841.0,13.19,0.41,-3.08,,8.87,0.61,8.91,0.61,-23.32,-15.87,-34.67,DGA (DGA)
DGA,DGA,2015/Q1,2015-05-15,4.79,1130279,2013.0,-320.0,-186.0,12.89,0.42,-5.05,,8.07,0.67,8.62,0.63,-39.16,-25.48,-62.52,DGA (DGA)
DGA,DGA,2015/Q2,2015-08-31,4.7,1130279,2758.0,-97.0,79.0,12.65,0.45,-2.95,,8.23,0.69,8.15,0.69,-23.34,-15.25,-35.86,DGA (DGA)
DGA,DGA,2015/Q3,2015-11-16,4.14,1130279,1579.0,-18.0,-132.0,12.61,0.47,-1.61,,7.91,0.76,8.22,0.73,-12.76,-8.46,-20.34,DGA (DGA)
DGA,DGA,2015/Q4,2016-03-21,3.63,1130279,678.0,-683.0,-662.0,11.95,0.39,-0.99,,6.22,0.75,7.66,0.61,-8.28,-6.02,-15.91,DGA (DGA)
DGA,DGA,2016/Q1,2016-05-16,4.1,1130279,361.0,-543.0,-605.0,11.46,0.39,-1.19,,4.76,0.94,7.18,0.62,-10.36,-9.15,-24.96,DGA (DGA)
DGA,DGA,2016/Q2,2016-08-24,3.72,1130279,351.0,327.0,-625.0,11.68,0.46,-0.81,,2.63,2.05,7.19,0.75,-6.9,-6.0,-30.68,DGA (DGA)
DGA,DGA,2016/Q3,2016-11-14,3.48,1130279,321.0,-1128.0,-698.0,10.67,0.46,-1.8,,1.51,3.25,6.66,0.74,-16.83,-13.47,-118.64,DGA (DGA)
DGA,DGA,2016/Q4,2017-03-21,3.07,1130279,1457.0,175.0,136.0,10.8,0.33,-1.06,,2.2,1.61,6.73,0.53,-9.8,-6.55,-48.03,DGA (DGA)
DGA,DGA,2017/Q1,2017-05-19,4.18,1130279,2140.0,245.0,137.0,11.01,0.36,-0.37,,3.78,1.05,6.97,0.57,-3.33,-1.92,-9.72,DGA (DGA)
DGA,DGA,2017/Q2,2017-08-31,3.71,1130279,1648.0,19.0,41.0,11.03,0.49,-0.65,,4.92,1.09,6.99,0.77,-5.87,-3.25,-13.13,DGA (DGA)
DGA,DGA,2017/Q3,2017-11-15,3.86,1130279,2141.0,2551.0,1918.0,13.29,0.4,2.62,2.02,6.53,0.81,9.15,0.58,19.74,11.74,40.16,DGA (DGA)
DGA,DGA,2017/Q4,2018-04-23,4.55,1130279,2396.0,-186.0,13.0,13.13,0.33,2.33,1.87,7.37,0.59,9.16,0.47,17.76,9.16,31.66,DGA (DGA)
DGA,DGA,2018/Q1,2018-05-30,5.82,1130279,2861.0,1750.0,417.0,14.69,0.43,3.68,1.73,8.0,0.8,10.5,0.61,25.05,13.19,45.99,DGA (DGA)
DGA,DGA,2018/Q2,2018-08-31,7.94,1130279,1754.0,397.0,10.0,14.38,0.54,4.04,1.93,8.1,0.96,9.97,0.78,28.09,15.77,49.89,DGA (DGA)
DGA,DGA,2018/Q3,2018-11-15,8.19,1130279,1284.0,514.0,459.0,14.8,0.59,2.21,3.98,7.34,1.2,10.53,0.84,14.94,9.0,30.13,DGA (DGA)
DGA,DGA,2018/Q4,2019-04-25,7.4,1130279,1038.0,-286.0,85.0,14.57,0.6,2.2,3.95,6.14,1.42,10.23,0.85,15.11,9.04,35.88,DGA (DGA)
DGA,DGA,2019/Q1,2019-05-30,6.65,1130279,851.0,-1016.0,-482.0,14.35,0.62,-0.24,,4.36,2.03,10.03,0.88,-1.67,-0.94,-5.5,DGA (DGA)
DGA,DGA,2019/Q2,2019-09-25,6.17,1130279,1505.0,520.0,145.0,13.97,0.53,-0.19,,4.14,1.79,10.64,0.7,-1.35,-0.94,-4.55,DGA (DGA)
DGA,DGA,2019/Q3,2019-11-22,6.17,1130279,909.0,-721.0,-459.0,13.35,0.52,-1.25,,3.81,1.83,10.11,0.69,-9.37,-5.77,-32.84,DGA (DGA)
DGA,DGA,2019/Q4,2020-06-18,4.81,1130279,2154.0,-1251.0,-89.0,12.24,0.51,-2.19,,4.79,1.29,8.93,0.69,-17.91,-12.12,-45.71,DGA (DGA)
DGA,DGA,2020/Q1,2020-07-07,4.41,1130279,2362.0,-355.0,-162.0,11.94,0.38,-1.6,,6.13,0.73,8.57,0.52,-13.41,-7.61,-26.12,DGA (DGA)
DGA,DGA,2020/Q2,2020-09-22,4.55,1130279,1846.0,397.0,46.0,12.32,0.42,-1.65,,6.43,0.81,8.93,0.58,-13.39,-7.85,-25.64,DGA (DGA)
DGA,DGA,2020/Q3,2020-11-20,4.14,1130279,1785.0,-461.0,-306.0,11.92,0.44,-1.42,,7.21,0.74,8.52,0.62,-11.92,-6.56,-19.73,DGA (DGA)
DGA,DGA,2020/Q4,2021-04-30,6.08,1130279,2832.0,727.0,556.0,12.51,0.4,0.27,18.22,7.81,0.63,9.32,0.53,2.17,1.19,3.48,DGA (DGA)
DGA,DGA,2021/Q1,2021-05-27,6.04,1130279,1732.0,315.0,-139.0,12.8,0.53,0.86,7.95,7.25,0.94,9.54,0.71,6.68,3.65,11.8,DGA (DGA)
DGA,DGA,2021/Q2,2021-09-30,6.78,1130279,1914.0,1171.0,179.0,13.85,0.49,1.53,4.44,7.31,0.93,10.68,0.64,11.05,6.53,20.94,DGA (DGA)
DGA,DGA,2021/Q3,2021-11-26,7.18,1130279,1742.0,1127.0,-77.0,14.84,0.52,2.92,2.64,7.27,1.06,11.62,0.66,19.65,12.43,40.1,DGA (DGA)
DGA,DGA,2021/Q4,2022-04-29,6.65,1130279,2563.0,1008.0,298.0,15.7,0.5,3.18,2.45,7.03,1.11,12.51,0.62,20.29,11.1,45.26,DGA (DGA)
DGA,DGA,2022/Q1,2022-05-27,7.71,1130279,2028.0,-787.0,183.0,14.96,0.57,2.16,3.93,7.3,1.17,11.46,0.74,14.45,7.76,29.64,DGA (DGA)
DGA,DGA,2022/Q2,2022-09-30,7.35,1130279,2863.0,1696.0,-227.0,15.92,0.58,2.61,3.53,8.14,1.13,12.45,0.74,16.38,7.52,32.06,DGA (DGA)
DGA,DGA,2022/Q3,2022-11-25,7.21,1130279,2449.0,-118.0,-194.0,15.83,0.49,1.53,5.11,8.76,0.89,12.31,0.63,9.64,5.05,17.41,DGA (DGA)
DGA,DGA,2022/Q4,2023-04-27,9.05,1130279,2629.0,-617.0,-81.0,15.29,0.47,0.13,53.54,8.82,0.82,12.17,0.59,0.88,0.45,1.52,DGA (DGA)
DGA,DGA,2023/Q1,2023-05-30,9.0,1130279,2521.0,302.0,-228.0,15.55,0.48,1.12,6.6,9.26,0.8,12.43,0.6,7.21,3.44,12.11,DGA (DGA)
DGA,DGA,2023/Q2,2023-09-29,8.5,1130279,3779.0,1149.0,185.0,16.2,0.61,0.64,15.44,10.07,0.98,13.04,0.76,3.94,1.93,6.34,DGA (DGA)
DGA,DGA,2023/Q3,2023-11-29,7.52,1130279,2581.0,449.0,-397.0,16.07,0.54,0.6,14.31,10.18,0.85,12.85,0.67,3.76,1.72,5.93,DGA (DGA)
DGA,DGA,2023/Q4,2024-04-22,19.65,1130279,927.0,-1245.0,-777.0,15.15,0.48,0.58,12.42,8.68,0.83,12.84,0.56,3.82,2.35,6.68,DGA (DGA)
DGA,DGA,2024/Q1,2024-05-29,18.57,1130279,300.0,-906.0,-900.0,14.35,1.46,-0.48,,6.71,3.13,11.84,1.77,-3.33,-2.51,-7.12,DGA (DGA)
DGA,DGA,2024/Q2,2024-09-20,17.5,1130279,445.0,35.0,-1284.0,14.11,1.32,-1.46,,3.76,4.94,11.6,1.6,-10.35,-8.24,-38.82,DGA (DGA)
DGA,DGA,2024/Q3,2024-11-28,,1130279,760.0,-790.0,-622.0,13.41,1.28,-2.03,,2.15,7.99,10.98,1.57,-15.15,-12.15,-94.45,DGA (DGA)
DGA,DGA,2024/Q4,2025-04-16,18.35,1130279,819.0,-1279.0,-615.0,12.28,1.43,-2.6,,2.06,8.56,9.46,1.86,-21.18,-11.89,-126.51,DGA (DGA)
DGA,DGA,2025/Q1,2025-05-29,16.35,1130279,1023.0,568.0,-810.0,12.78,1.49,-1.3,,2.7,7.05,9.5,2.0,-10.15,-5.14,-48.11,DGA (DGA)
