Nazwa,Ticker,Kwartał [-],Data publikacji,Kurs [zł],Liczba akcji [-],Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Zysk operacyjny (EBIT) [tys. zł],Wartość księgowa na akcję [zł],Cena/WK [-],Zysk na akcję [zł],Cena/Zysk [-],Przychody ze sprzedaży na akcję [zł],Cena/Przychód [-],Wartość księgowa Grahama na akcję [zł],Cena/Wartość księgowa Grahama [-],ROE [%],ROA [%],Marża zysku netto [%],Nazwa+ticker
08OCTAVA,08N,2019/Q3,2019-11-21,0.83,42786848,24.0,-346.0,-194.0,1.45,0.59,-0.12,,-0.11,,0.01,130.19,-8.51,-6.91,110.84,08OCTAVA (08N)
08OCTAVA,08N,2019/Q4,2020-03-26,0.83,42786848,685.0,266.0,259.0,1.45,0.55,0.06,13.09,-0.07,,0.5,1.62,4.22,3.37,-88.05,08OCTAVA (08N)
08OCTAVA,08N,2020/Q1,2020-05-21,0.8,42786848,2558.0,2058.0,2310.0,1.52,0.52,0.1,8.25,-0.05,,0.49,1.6,6.29,5.07,-203.68,08OCTAVA (08N)
08OCTAVA,08N,2020/Q2,2020-09-10,1.1,42786848,-2557.0,-2188.0,-2748.0,1.47,0.54,0.12,6.78,0.02,48.21,0.4,1.99,8.03,6.3,711.55,08OCTAVA (08N)
08OCTAVA,08N,2020/Q3,2020-11-19,0.88,42786848,0.0,-680.0,-677.0,1.45,0.66,0.11,8.66,0.02,59.56,0.3,3.21,7.58,5.72,687.46,08OCTAVA (08N)
08OCTAVA,08N,2020/Q4,2021-04-20,1.03,42786848,57.0,-903.0,-382.0,1.4,0.59,-0.05,,0.0,612.29,0.18,4.51,-3.75,-2.63,-3875.86,08OCTAVA (08N)
08OCTAVA,08N,2021/Q1,2021-05-20,1.03,42786848,425.0,-218.0,34.0,1.4,0.72,-0.11,,-0.05,,0.16,6.28,-7.56,-5.25,217.54,08OCTAVA (08N)
08OCTAVA,08N,2021/Q2,2021-09-09,1.04,42786848,-1170.0,-1221.0,-1445.0,1.37,0.76,-0.08,,-0.02,,0.12,8.43,-5.75,-3.94,490.12,08OCTAVA (08N)
08OCTAVA,08N,2021/Q3,2021-11-18,1.03,42786848,-14.0,-242.0,-163.0,1.36,0.75,-0.07,,-0.02,,0.12,8.95,-5.05,-3.5,420.23,08OCTAVA (08N)
08OCTAVA,08N,2021/Q4,2022-04-20,1.05,42786848,1649.0,-630.0,-27.0,1.36,0.75,-0.04,,0.02,49.04,0.11,9.1,-3.31,-2.27,-215.39,08OCTAVA (08N)
08OCTAVA,08N,2022/Q1,2022-05-18,,42786848,71.0,-449.0,-139.0,1.35,0.75,-0.05,,0.01,80.62,0.12,8.14,-3.69,-2.52,-396.27,08OCTAVA (08N)
08OCTAVA,08N,2022/Q2,2022-09-08,1.0,42786848,476.0,-112.0,154.0,1.44,0.72,-0.03,,0.05,20.39,0.1,10.32,-2.08,-1.44,-58.71,08OCTAVA (08N)
08OCTAVA,08N,2022/Q3,2022-11-16,1.05,42786848,-40.0,-321.0,-277.0,1.43,0.71,-0.03,,0.05,20.04,0.09,11.88,-2.26,-1.57,-64.15,08OCTAVA (08N)
08OCTAVA,08N,2022/Q4,2023-04-20,1.01,42786848,617.0,-3742.0,-2416.0,1.21,0.85,-0.11,,0.03,38.83,0.09,11.7,-9.28,-6.2,-425.89,08OCTAVA (08N)
08OCTAVA,08N,2023/Q1,2023-05-18,1.01,42786848,290.0,128.0,-230.0,1.21,0.84,-0.1,,0.03,32.5,0.09,11.8,-8.2,-5.52,-315.56,08OCTAVA (08N)
08OCTAVA,08N,2023/Q2,2023-09-07,1.02,42786848,318.0,-816.0,-503.0,1.19,0.83,-0.11,,0.03,35.57,0.07,14.85,-9.51,-6.38,-407.59,08OCTAVA (08N)
08OCTAVA,08N,2023/Q3,2023-11-16,0.98,42786848,295.0,-151.0,-287.0,1.19,0.84,-0.11,,0.04,28.15,0.06,15.94,-9.12,-6.18,-306.45,08OCTAVA (08N)
08OCTAVA,08N,2023/Q4,2024-04-24,0.96,42786848,306.0,4537.0,5820.0,1.3,0.76,0.09,11.37,0.03,35.04,0.12,8.24,6.68,4.58,308.02,08OCTAVA (08N)
08OCTAVA,08N,2024/Q1,2024-05-16,0.96,42786848,290.0,-6738.0,-5310.0,1.15,0.87,-0.07,,0.03,35.39,-0.04,,-6.34,-4.13,-257.4,08OCTAVA (08N)
08OCTAVA,08N,2024/Q2,2024-09-10,0.92,42786848,345.0,-1734.0,-1527.0,1.11,0.86,-0.09,,0.03,33.06,-0.06,,-8.52,-5.44,-326.21,08OCTAVA (08N)
08OCTAVA,08N,2024/Q3,2024-11-14,,42786848,286.0,-1999.0,-1894.0,1.06,0.87,-0.13,,0.03,32.08,-0.1,,-12.66,-7.77,-468.87,08OCTAVA (08N)
08OCTAVA,08N,2024/Q4,2025-04-30,0.89,42786848,300.0,-3477.0,-3997.0,0.98,0.83,-0.32,,0.03,28.73,-0.12,,-32.69,-19.84,-1125.23,08OCTAVA (08N)
08OCTAVA,08N,2025/Q1,2025-05-15,0.82,42786848,317.0,-2913.0,-2785.0,0.91,0.97,-0.23,,0.03,30.34,-0.19,,-25.36,-14.33,-795.43,08OCTAVA (08N)
08OCTAVA,08N,2025/Q2,2025-09-10,,42786848,365.0,1716.0,1883.0,0.95,0.83,-0.15,,0.03,26.66,-0.16,,-16.05,-9.76,-516.32,08OCTAVA (08N)
08OCTAVA,08N,2025/Q3,2025-11-13,0.7,42786848,368.0,-649.0,-510.0,0.94,0.78,-0.12,,0.03,23.3,-0.17,,-13.15,-7.99,-391.19,08OCTAVA (08N)
11BIT,11B,2010/Q4,2011-02-14,11.03,1871000,210.0,-159.0,-212.0,0.68,,-0.12,,0.25,,0.66,,-18.22,-17.09,-48.73,11BIT (11B)
11BIT,11B,2011/Q3,2011-11-14,8.85,1871000,918.0,466.0,544.0,1.1,6.45,0.34,20.99,1.19,5.96,1.06,6.73,30.73,29.58,28.39,11BIT (11B)
11BIT,11B,2011/Q4,2012-02-14,13.89,1871000,1035.0,501.0,509.0,1.37,7.16,0.69,14.18,1.63,6.0,1.39,7.07,50.49,43.3,42.32,11BIT (11B)
11BIT,11B,2012/Q1,2012-05-15,9.81,1911699,969.0,389.0,446.0,1.7,6.07,0.91,11.41,2.03,5.09,1.75,5.91,53.15,49.87,44.64,11BIT (11B)
11BIT,11B,2012/Q2,2012-08-14,9.45,1911699,567.0,-41.0,0.0,1.68,5.54,0.69,13.55,1.83,5.11,1.73,5.39,40.88,38.36,37.69,11BIT (11B)
11BIT,11B,2012/Q3,2012-11-14,9.0,2217199,1058.0,207.0,238.0,2.77,3.16,0.48,18.35,1.64,5.34,2.82,3.1,17.21,16.45,29.1,11BIT (11B)
11BIT,11B,2012/Q4,2013-02-14,8.79,2217199,2201.0,790.0,1111.0,3.12,2.76,0.61,14.18,2.16,3.98,3.16,2.72,19.45,18.33,28.05,11BIT (11B)
11BIT,11B,2013/Q1,2013-05-14,10.54,2217199,1004.0,57.0,60.0,3.14,3.63,0.46,24.95,2.18,5.23,3.19,3.58,14.53,13.67,20.97,11BIT (11B)
11BIT,11B,2013/Q2,2013-08-14,9.92,2217199,1509.0,341.0,415.0,3.3,2.77,0.63,14.53,2.6,3.51,3.13,2.92,19.08,18.02,24.17,11BIT (11B)
11BIT,11B,2013/Q3,2013-11-14,10.47,2217199,700.0,-304.0,-401.0,3.16,2.85,0.4,22.57,2.44,3.69,3.0,3.0,12.61,11.86,16.33,11BIT (11B)
11BIT,11B,2013/Q4,2014-02-14,10.5,2217199,2496.0,914.0,1320.0,3.57,2.66,0.45,20.9,2.57,3.69,3.54,2.69,12.72,11.57,17.66,11BIT (11B)
11BIT,11B,2014/Q1,2014-05-14,13.2,2217199,620.0,-530.0,-537.0,3.33,3.54,0.19,62.14,2.4,4.91,3.28,3.59,5.7,5.21,7.91,11BIT (11B)
11BIT,11B,2014/Q2,2014-08-14,9.9,2217199,1596.0,-994.0,-1002.0,3.13,4.01,-0.41,,2.44,5.14,2.97,4.23,-13.19,-11.76,-16.89,11BIT (11B)
11BIT,11B,2014/Q3,2014-11-14,9.62,2217199,806.0,342.0,328.0,3.04,3.62,-0.12,,2.49,4.42,2.9,3.78,-3.98,-3.45,-4.86,11BIT (11B)
11BIT,11B,2014/Q4,2015-02-12,78.77,2217199,14657.0,10418.0,12456.0,7.67,9.06,4.17,16.68,7.97,8.72,7.96,8.73,54.31,42.93,52.24,11BIT (11B)
11BIT,11B,2015/Q1,2015-02-14,,2217199,6523.0,4212.0,4831.0,9.7,7.36,6.3,11.33,10.64,6.71,8.94,7.99,64.98,50.48,59.27,11BIT (11B)
11BIT,11B,2015/Q2,2015-08-14,75.48,2217199,6541.0,3409.0,4355.0,12.02,5.44,8.29,7.89,12.87,5.08,11.56,5.66,68.99,65.8,64.43,11BIT (11B)
11BIT,11B,2015/Q3,2015-11-16,68.92,2217199,2854.0,1934.0,1923.0,11.99,5.45,9.01,7.25,13.79,4.73,8.93,7.31,75.16,69.81,65.32,11BIT (11B)
11BIT,11B,2015/Q4,2016-02-12,76.4,2217199,7252.0,2011.0,2653.0,12.93,5.46,5.22,13.53,10.45,6.76,9.75,7.24,40.33,35.24,49.92,11BIT (11B)
11BIT,11B,2016/Q1,2016-05-16,68.92,2217199,7149.0,4589.0,5556.0,15.0,4.83,5.39,13.44,10.73,6.75,11.71,6.18,35.9,32.5,50.19,11BIT (11B)
11BIT,11B,2016/Q2,2016-08-31,101.45,2217199,5134.0,1535.0,1779.0,15.76,4.89,4.54,16.95,10.1,7.62,12.39,6.21,28.82,26.85,44.97,11BIT (11B)
11BIT,11B,2016/Q3,2016-11-14,118.6,2217199,5226.0,1335.0,2234.0,16.4,7.87,4.27,30.2,11.17,11.55,12.53,10.29,26.05,24.39,38.25,11BIT (11B)
11BIT,11B,2016/Q4,2017-03-30,188.0,2217199,9507.0,5470.0,4565.0,19.0,7.73,5.83,25.17,12.18,12.05,14.72,9.97,30.69,28.32,47.86,11BIT (11B)
11BIT,11B,2017/Q1,2017-05-11,177.15,2217199,2906.0,-1053.0,370.0,18.52,10.31,3.29,58.12,10.27,18.6,13.68,13.96,17.75,16.95,32.0,11BIT (11B)
11BIT,11B,2017/Q2,2017-09-21,187.65,2287199,5798.0,1464.0,2555.0,18.83,9.72,3.16,58.0,10.25,17.86,13.8,13.26,16.75,16.02,30.79,11BIT (11B)
11BIT,11B,2017/Q3,2017-11-16,159.6,2287199,2733.0,-830.0,-672.0,18.47,10.47,2.21,87.58,9.16,21.12,12.0,16.11,11.96,11.36,24.12,11BIT (11B)
11BIT,11B,2017/Q4,2018-03-26,206.5,2287199,7749.0,3977.0,5271.0,20.21,9.8,1.56,127.28,8.39,23.6,12.7,15.59,7.7,7.31,18.54,11BIT (11B)
