Nazwa,Rok,Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Koszty sprzedaży [tys. zł],EBITDA [tys. zł],Wartość firmy [tys. zł],Kredyty i pożyczki [tys. zł],Aktywa razem [tys. zł],Pasywa razem [tys. zł],Dywidenda [tys. zł]
MABION,2019,0.0,-63738.0,0.0,-52162.0,0.0,15810.0,113545.0,113545.0,0.0
MABION,2020,0.0,-55772.0,0.0,-44824.0,0.0,31180.0,78321.0,78321.0,0.0
MABION,2021,56873.0,1903.0,0.0,-986.0,0.0,15250.0,184237.0,184237.0,0.0
MABION,2022,163982.0,23192.0,0.0,37192.0,0.0,136.0,186175.0,186175.0,0.0
MABION,2023,151678.0,41269.0,0.0,62261.0,0.0,31303.0,208254.0,208254.0,0.0
MABION,2024,69019.0,-6334.0,0.0,1518.0,0.0,159.0,159472.0,159472.0,0.0
MABION,2025,11243.0,-64839.0,0.0,-50766.0,0.0,194.0,128017.0,128017.0,0.0
MAKARONY-POLSKIE,2006,46557.0,1822.0,3594.0,3819.0,0.0,3666.0,28762.0,28762.0,0.0
MAKARONY-POLSKIE,2007,83844.0,2422.0,10828.0,4842.0,5946.0,6141.0,95874.0,95874.0,0.0
MAKARONY-POLSKIE,2008,88750.0,-2776.0,13233.0,2468.0,5946.0,21303.0,114345.0,114345.0,0.0
MAKARONY-POLSKIE,2009,117551.0,2198.0,15043.0,9851.0,5946.0,2639.0,117963.0,117963.0,0.0
MAKARONY-POLSKIE,2010,149969.0,2175.0,20366.0,8541.0,5946.0,9320.0,132206.0,132206.0,0.0
MAKARONY-POLSKIE,2011,210671.0,-3347.0,21738.0,6337.0,5946.0,12827.0,142157.0,142157.0,0.0
MAKARONY-POLSKIE,2012,131921.0,1258.0,19026.0,6237.0,5946.0,19407.0,128337.0,128337.0,0.0
MAKARONY-POLSKIE,2013,131666.0,2900.0,19084.0,9238.0,5946.0,10996.0,123897.0,123897.0,0.0
MAKARONY-POLSKIE,2014,123801.0,4143.0,15812.0,11785.0,5946.0,11994.0,126579.0,126579.0,0.0
MAKARONY-POLSKIE,2015,132776.0,4914.0,16523.0,12095.0,5949.0,8256.0,127000.0,127000.0,1573.0
MAKARONY-POLSKIE,2016,124181.0,5092.0,16726.0,12157.0,5949.0,8455.0,128386.0,128386.0,3238.0
MAKARONY-POLSKIE,2017,144872.0,5517.0,18763.0,12911.0,5949.0,12272.0,137208.0,137208.0,2313.0
MAKARONY-POLSKIE,2018,154017.0,5830.0,19705.0,14084.0,5949.0,14170.0,145792.0,145792.0,2313.0
MAKARONY-POLSKIE,2019,165588.0,3803.0,21303.0,13536.0,5949.0,16500.0,173627.0,173627.0,2313.0
MAKARONY-POLSKIE,2020,187175.0,7528.0,21657.0,18836.0,5949.0,15379.0,180537.0,180537.0,2313.0
MAKARONY-POLSKIE,2021,169651.0,6390.0,20451.0,16541.0,5949.0,15238.0,205044.0,205044.0,2775.0
MAKARONY-POLSKIE,2022,328922.0,24458.0,28089.0,42368.0,2863.0,13220.0,239332.0,239332.0,3322.0
MAKARONY-POLSKIE,2023,354844.0,32891.0,33812.0,57820.0,188.0,3016.0,238088.0,238088.0,6624.0
MAKARONY-POLSKIE,2024,303271.0,33666.0,34095.0,56519.0,188.0,3021.0,253839.0,253839.0,8280.0
MAKARONY-POLSKIE,2025,299854.0,27733.0,34925.0,48842.0,188.0,2486.0,258612.0,258612.0,8280.0
MBANK,2007,,747617.0,,1022327.0,,,55941900.0,55941900.0,0.0
MBANK,2008,,889344.0,,1070866.0,,,82605202.0,82605202.0,0.0
MBANK,2009,,130523.0,,468751.0,,,81023886.0,81023886.0,0.0
MBANK,2010,,660865.0,,1109429.0,,,90042441.0,90042441.0,0.0
MBANK,2011,,1144435.0,,1718539.0,,,98875647.0,98875647.0,0.0
MBANK,2012,,1197902.0,,1711982.0,,,102144983.0,102144983.0,0.0
MBANK,2013,,1208978.0,,1757387.0,,,104282761.0,104282761.0,421420.0
MBANK,2014,,1289310.0,,1893141.0,3532.0,,117985822.0,117985822.0,716984.0
MBANK,2015,,1304128.0,,1817505.0,3532.0,,123523021.0,123523021.0,0.0
MBANK,2016,,1222224.0,,1909579.0,3532.0,,133743502.0,133743502.0,0.0
MBANK,2017,,1095070.0,,1751635.0,3532.0,,131424019.0,131424019.0,0.0
MBANK,2018,,1316369.0,,2051666.0,3532.0,,145750119.0,145750119.0,217907.0
MBANK,2019,,1010252.0,,1930543.0,3552.0,,158720583.0,158720583.0,0.0
MBANK,2020,,103757.0,,1040359.0,3552.0,,180136294.0,180136294.0,0.0
MBANK,2021,,-1178813.0,,-154777.0,3552.0,,199538885.0,199538885.0,0.0
MBANK,2022,,-702527.0,,359289.0,3552.0,,209892113.0,209892113.0,0.0
MBANK,2023,,24058.0,,1474604.0,3552.0,,226980516.0,226980516.0,0.0
MBANK,2024,,2243368.0,,3560355.0,3552.0,,245957363.0,245957363.0,0.0
MBANK,2025,,3488058.0,,5294880.0,3552.0,,261538419.0,261538419.0,0.0
MBR,2009,43362.0,9160.0,0.0,16543.0,,7935.0,44456.0,44456.0,1363.0
MBR,2010,47012.0,6892.0,0.0,14773.0,,4046.0,65006.0,65006.0,4123.0
MBR,2011,51499.0,2444.0,0.0,12676.0,832.0,3693.0,141590.0,141590.0,0.0
MBR,2012,46747.0,3068.0,0.0,11009.0,832.0,1598.0,160825.0,160825.0,0.0
MBR,2013,40495.0,3173.0,0.0,7835.0,832.0,1727.0,177400.0,177400.0,0.0
MBR,2014,45979.0,-4475.0,0.0,5066.0,832.0,8965.0,181460.0,181460.0,0.0
MBR,2015,45220.0,-2424.0,0.0,9400.0,832.0,8097.0,175157.0,175157.0,0.0
MBR,2016,53226.0,2158.0,0.0,12095.0,832.0,10641.0,171637.0,171637.0,0.0
MBR,2017,65610.0,6890.0,1753.0,16547.0,832.0,9515.0,165957.0,165957.0,0.0
MBR,2018,92667.0,20520.0,1706.0,32437.0,832.0,8607.0,173396.0,173396.0,0.0
